"","range","row","year_site.UID","plot_grouped_global","UID","year","value","time_since_sowing","genotype.id","date","plot_grouped","Filename","Location","platform","avg_Temperature_56","avg_Temperature_28","avg_precipitation_56","avg_precipitation_28","avg_radiation_28","avg_photothermal_28","avg_vpd_28","avg_humidity_28","avg_Temperature_14","avg_precipitation_14","avg_radiation_14","avg_photothermal_14","avg_humidity_14","avg_vpd_14","Row_per_plot"
"3224",2,5,"DSSB003","DSSB003_1_1","DSSB0030016","2020",0.482450796818076,58,"10076",2020-06-24,"41",NA,"Delley","UAV",845.266666666667,448.216666666667,204.8,122.4,6426.875,122206.6375,14.4421660891128,2144.33333333333,238.641666666667,76,3403.79166666667,67882.0958333333,1124.83333333333,6.78554798979749,3
"3225",2,5,"DSSB003","DSSB003_1_1","DSSB0030016","2020",0.209647675015629,52,"10076",2020-06-18,"41",NA,"Delley","UAV",813.616666666667,430.475,222,124.8,6326.20833333333,115021.804166667,14.3264316997425,2105.25,205.975,97.6,2521.79166666666,43753.45,1221.83333333333,3.61129164430783,3
"3226",2,5,"DSSB003","DSSB003_1_1","DSSB0030016","2020",0.126341368815867,46,"10076",2020-06-12,"41",NA,"Delley","UAV",806.420833333333,439.045833333333,168.4,69.8,6944.5,129246.379166667,18.2363765790049,1932.58333333333,209.7125,64.8,2870.79166666667,51572.0083333333,1081.08333333333,6.51919545171814,3
"3227",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.726893253312281,93,"10097",2020-07-29,"56",NA,"Delley","UAV",1047.94166666667,568.158333333333,187,50.8,7213.75,166771.491666667,25.2512245811662,1873.16666666667,292.758333333333,30.8,3436.08333333334,81881.1958333334,978.708333333334,12.2091186288489,3
"3228",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.0521334673673195,46,"10097",2020-06-12,"56",NA,"Delley","UAV",806.420833333333,439.045833333333,168.4,69.8,6944.5,129246.379166667,18.2363765790049,1932.58333333333,209.7125,64.8,2870.79166666667,51572.0083333333,1081.08333333333,6.51919545171814,3
"3229",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.0855784529327806,52,"10097",2020-06-18,"56",NA,"Delley","UAV",813.616666666667,430.475,222,124.8,6326.20833333333,115021.804166667,14.3264316997425,2105.25,205.975,97.6,2521.79166666666,43753.45,1221.83333333333,3.61129164430783,3
"3230",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.67798659105702,84,"10097",2020-07-20,"56",NA,"Delley","UAV",998.966666666667,561.791666666667,163,40.6,7446.375,170800.783333333,25.0655384130814,1860.20833333333,272.358333333333,21.2,3640.5,81876.1583333333,902.791666666668,12.9548773392497,3
"3231",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.855698673551661,101,"10097",2020-08-06,"56",NA,"Delley","UAV",1099.1,570.295833333333,148.6,71.4,6626.25,155566.804166667,23.3285163279751,1978.875,294.3125,24.6,3205.375,78182.6958333333,1006.16666666667,12.13546488078,3
"3232",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.405138759573777,72,"10097",2020-07-08,"56",NA,"Delley","UAV",949.641666666667,522.066666666667,147.8,95.4,7204.45833333333,155010.670833333,18.6478436338493,2079.79166666667,283.425,19.4,3800.66666666666,87128.575,954.958333333334,11.8622956440518,3
"3233",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.758153333304603,78,"10097",2020-07-14,"56",NA,"Delley","UAV",987.1,547.441666666667,165.4,72.2,7669.45833333333,171472.570833333,23.0401799991349,1933.875,279.75,18.6,3959.45833333333,90064.35,892.666666666666,13.3739174598931,3
